play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count
Henry VI Part 1;1H6 V.ii;16;Alencon, Bastard, Burgundy, Charles, Pucelle, Scout;no;6
Henry VI Part 1;1H6 I.iv;17;Boy, Gargrave, Glansdale, Master Gunner, Messenger, Salisbury, Talbot;yes;7
Henry VI Part 1;1H6 V.iii;18;Burgundy, Fiends, Margaret, Pucelle, Reignier, Richard, Suffolk;yes;7
Henry VI Part 1;1H6 I.iii;19;Gloucester, Mayor, Officer, First Servingman, First Watch, Servingmen, Winchester, Woodville;yes;8
Henry VI Part 1;1H6 IV.vii;20;Alencon, Bastard, Burgundy, Charles, Lucy, Pucelle, Servant, Talbot;yes;8
Henry VI Part 1;1H6 V.iv;21;Alencon, Bastard, Pucelle, Reignier, Richard, Shepherd, Warwick, Winchester;yes;8
Henry VI Part 1;1H6 I.i;22;Bedford, Exeter, Gloucester, Heralds, First Messenger, Secoond Messenger, Third Messenger, Warwick, Winchester;yes;9
Henry VI Part 1;1H6 II.i;23;Alencon, Bastard, Bedford, Burgundy, Charles, Pucelle, Reignier, First Sentinel, Sergeant, Soldier, Talbot;yes;11
Henry VI Part 1;1H6 III.iv;24;Basset, Exeter, Gloucester, King, Richard, Somerset, Suffolk, Talbot, Vernon, Warwick, Winchester,;yes;11
Henry VI Part 1;1H6 III.i;25;Exeter, Gloucester, King, Mayor, Richard, First Servingman, Second Servingman, Third Servingman, Somserset, Suffolk, Warwick, Winchester,;yes;12
Henry VI Part 1;1H6 III.ii;26;Alencon, Bastard, Bedford, Burgundy, Captain, Charles, Falstaff [soldier], Pucelle, Reignier, First Soldier, Talbot, Watch;yes;12
Henry VI Part 1;1H6 IV.i;27;Basset, Exeter, Falstaff [soldier], Gloucester, Governor, King, Richard, Somerset, Suffolk, Talbot, Vernon, Warwick, Winchester;yes;13
Henry VI Part 2;2H6 IV.iii;1;Cade, Dick;yes;2
Henry VI Part 2;2H6 IV.v;2;First Citizen, Scales;no;2
Henry VI Part 2;2H6 IV.x;3;Cade, Iden;no;2
Henry VI Part 2;2H6 II.ii;4;Salisbury, Warwick, York;no;3
